tic;sic
LEN.B;1531
LH;8071
LHX;3812
LIFE;2836
LIN;2810
LKQ;5010
LLTC;3674
LLY;2834
LM;6282
LMT;3760
LNC;6311
LNC.PD;6311
LNT;4931
LO;2111
LOW;5211
LRCX;3559
LSI;6798
LUMN;4813
LUV;4512
LVLT;4813
LVS;7990
LW;2030
LXK;3577
LYB;2820
LYB.B;2820
LYV;7900
M;5311
MA;6099
MAA;6798
MAC;6798
MAR;7011
MAS;3430
MAT;3942
MCD;5812
MCHP;3674
MCK;5122
MCO;7323
MDLZ;2052
MDT;3845
MET;6311
MET.PA;6311
MET.PF;6311
META;7370
MGM;7990
MHK;2273
MHS;5912
MJN;2020
MKC;2090
MKC.V;2090
MKTX;6200
MLM;1400
MMC;6411
MMI;6531
MMM;2670
MNK;2834
MNKKQ;2834
MNST;2086
MO;2111
MOH;6324
MOLX;3678
MOLXA;3678
MON;9995
MONCU;9995
MOS;2870
MPC;2911
MPWR;3674
MRK;2834
MRK.WI;2834
MRNA;2836
MRO;1311
MS;6211
MS.PP;6211
MSCI;6282
MSFT;7372
MSI;3663
MTB;6020
MTB.PH;6020
MTCH;7370
MTD;3826
MTLQQ;3711
MU;3674
MUR;1311
MWV;2631
MXIM;3674
NA;3674
NAVI;6111
NBL;1311
NBR;1381
NCLH;4400
NDAQ;6200
NDSN;3569
NE;1381
NEBLQ.1;1381
NEE;4911
NEE.PO;4911
NEE.PP;4911
NEE.PQ;4911
NEE.PQ.1;4911
NEE.PR;4911
NEM;1040
NEMUF;1040
NFLX;7841
NFX;1311
NGT.;1040
NI;4932
NIMC;4932
NKE;3021
NKTR;2834
NLSN;8700
NOC;3812
NOV;3533
NOW;7372
NRG;4911
NSC;4011
NTAP;3572
NTRS;6020
NUE;3312
NVDA;3674
NVLS;2836
NVR;1531
NWL;3990
NWS;2711
NWSA;2711
NXPI;3674
O;6798
ODFL;4213
OGN;2834
OI;3221
OKE;4923
OMC;7311
ON;3674
ORCL;7370
ORLY;5531
OTIS;3530
OXY;1311
PARA;4833
PARAA;4833
PAYC;7370
PAYX;8721
PBCT;6020
PBI;3579
PCAR;3711
PCG;4931
PCGU;4931
PCL;2400
PCP;3728
PDCO;5047
PEAK;6798
PEG;4931
PENN;7990
PEP;2080
PETM;5990
PFE;2834
PFG;6282
PG;2840
PGR;6331
PH;3490
PHM;1531
PKG;2650
PKI;3826
PLD;6798
PLL;1400
PLL.2;1400
PLP.Z;1311
PM;2111
PNC;6020
PNC.PL;6020
PNR;3561
PNW;4911
POM;4911
POOL;5090
PPG;2851
PPL;4911
PRGO;2834
PRU;6311
PSA;6798
PSA.A;6798
PSA.PB;6798
PSA.PG.1;6798
PSX;2911
PTC;7372
PVH;2300
PWR;1731
PX;6282
PXD;1311
PXD.;1311
PYPL;7374
QCOM;3674
QEP;1311
QRVO;3674
R;7510
RAI;2111
RCL;4400
RDC;1381
RE;6331
REG;6798
REGN;2834
RF;6020
RHI;7363
RHT;7372
RIG;1381
RJF;6211
RL;2300
RMD;3845
ROK;3620
ROL;7340
ROP;7370
ROST;5651
RRC;1311
RRD;2750
RRD.2;2750
RSG;4953
RTN;3812
RTX;3724
S;7370
SBAC;6798
SBNY;6020
SBUX;5812
SCG;4931
SCHW;6282
SE;7370
SEDG;3674
SEE;3081
SHLD;6722
SHW;2851
SIAL;2833
SIG;5944
SIVB;6020
SJM;2033
SLB;1389
SLG;6798
SLM;6141
SNA;3420
SNDK;3572
SNI;4833
SNPS;7372
SO;4911
SOLN;4911
SPG;6798
SPGI;7323
SPLS;5110
SRCL;4955
SRE;4931
STE;3841
STI;6020
STJ;3845
STLD;3312
STT;6020
STX;3572
STZ;2082
STZ.B;2082
SUN;5172
SVU;5141
SWK;3540
SWKS;3674
SWN;4923
SWP;3540
SWT;3540
SWY;5411
SYF;6141
SYF.PA;6141
SYK;3842
SYY;5140
T;4812
TAP;2082
TAP.A;2082
TAP.Z;2082
TAP.Z.;2082
TDC;7370
TDG;3728
TDY;3812
TE;4931
TECH;2836
TEG;4931
TEL;3678
TER;3825
TFC;6020
TFC.PI;6020
TFX;3841
TGNA;4833
TGNA.WI;4833
TGT;5331
THC;8062
TIE;3350
TIF;5944
TJX;5651
TKPPY;1389
TMO;3826
TMUS;4812
TPR;3100
TRGP;4923
TRIP;7370
TRMB;3829
TROW;6282
TRV;6331
TSCO;5200
TSLA;3711
TSN;2011
TSS;7389
TT;3585
TTWO;7372
TWC;4841
TWTR;7370
TWX;4888
TXN;3674
TXT;3721
TXT.PA;3721
TXT.PB;3721
TYL;7373
UA;2300
UAA;2300
UAL;4512
UDR;6798
UHID;8062
UHS;8062
ULTA;5990
UNH;6324
UNM;6321
UNP;4011
UPS;4210
URBN;5651
URI;7350
USB;6020
USB.PA;6020
USB.PP;6020
USB.PQ;6020
V;6099
VAR;3845
VFC;2300
VIA.1;4833
VIAB;4833
VIAV;3576
VICI;6798
VLO;2911
VMC;1400
VNO;6798
VNO.WI;6798
VNT;3824
VRSK;6411
VRSN;7370
VRTX;2834
VTR;6798
VTRS;2834
VZ;4812
WAB;3743
WAT;3826
WBA;5912
WBD;4841
WCG;6324
WDC;3572
WEC;4931
WELL;6798
WFC;6020
WFC.PJ;6020
WFC.PL;6020
WFC.PY;6020
WFM;5411
WHR;3630
WM;4953
WMB;4922
WMT;5331
WPX;1311
WRB;6331
WRK;2650
WST;3060
WTW;6411
WU;6099
WY;2400
WYNN;7990
X;3312
XEC;1311
XEL;4931
XLNX;3674
XOM;2911
XRAY;3843
XRX;3577
XYL;3561
YUM;5812
Z.1;5661
ZBH;3842
ZBRA;3577
ZION;6020
ZTS;2834
ZTS.WI;2834
