"Ticker","Year"
"BAX","2015"
"BAX","2022"
"BBBY","2016"
"BBBY","2015"
"BBWI","2022"
"BBWI","2021"
"BBY","2018"
"BBY","2022"
"BBY","2017"
"BBY","2019"
"BBY","2015"
"BBY","2016"
"BBY","2020"
"BBY","2021"
"BCR","2016"
"BCR","2015"
"BDX","2021"
"BDX","2015"
"BDX","2022"
"BDX","2019"
"BDX","2017"
"BDX","2020"
"BDX","2016"
"BDX","2018"
"BF.B","2018"
"BF.B","2021"
"BF.B","2016"
"BF.B","2022"
"BF.B","2020"
"BF.B","2015"
"BF.B","2019"
"BF.B","2017"
"BIIB","2015"
"BIIB","2019"
"BIIB","2021"
"BIIB","2020"
"BIIB","2017"
"BIIB","2016"
"BIIB","2022"
"BIIB","2018"
"BIO","2022"
"BIO","2020"
"BIO","2021"
"BKNG","2019"
"BKNG","2016"
"BKNG","2017"
"BKNG","2021"
"BKNG","2022"
"BKNG","2020"
"BKNG","2018"
"BKNG","2015"
"BKR","2021"
"BKR","2022"
"BKR","2019"
"BKR","2020"
"BMY","2016"
"BMY","2021"
"BMY","2020"
"BMY","2019"
"BMY","2018"
"BMY","2015"
"BMY","2022"
"BMY","2017"
"BR","2022"
"BR","2018"
"BR","2020"
"BR","2019"
"BR","2021"
"BRCM","2015"
"BRK.B","2017"
"BRK.B","2021"
"BRK.B","2022"
"BRK.B","2018"
"BRK.B","2020"
"BRK.B","2015"
"BRK.B","2019"
"BRK.B","2016"
"BSX","2016"
"BSX","2018"
"BSX","2022"
"BSX","2020"
"BSX","2019"
"BSX","2017"
"BSX","2015"
"BSX","2021"
"BWA","2020"
"BWA","2016"
"BWA","2019"
"BWA","2018"
"BWA","2015"
"BWA","2022"
"BWA","2021"
"BWA","2017"
"BXLT","2015"
"CA","2017"
"CA","2015"
"CA","2016"
"CAG","2019"
"CAG","2022"
"CAG","2018"
"CAG","2017"
"CAG","2021"
"CAG","2016"
"CAG","2015"
"CAG","2020"
"CAH","2017"
"CAH","2018"
"CAH","2021"
"CAH","2022"
"CAH","2016"
"CAH","2020"
"CAH","2015"
"CAH","2019"
"CAM","2015"
"CARR","2022"
"CARR","2021"
"CARR","2020"
"CAT","2016"
"CAT","2018"
"CAT","2017"
"CAT","2021"
"CAT","2020"
"CAT","2015"
"CAT","2019"
"CAT","2022"
"CCL","2022"
"CCL","2019"
"CCL","2015"
"CCL","2017"
"CCL","2021"
"CCL","2020"
"CCL","2018"
"CCL","2016"
"CDAY","2021"
"CDAY","2022"
"CDNS","2022"
"CDNS","2021"
"CDNS","2018"
"CDNS","2020"
"CDNS","2017"
"CDNS","2019"
"CDW","2020"
"CDW","2022"
"CDW","2021"
"CDW","2019"
"CE","2022"
"CE","2018"
"CE","2021"
"CE","2019"
"CE","2020"
"CEG","2022"
"CELG","2016"
"CELG","2015"
"CELG","2017"
"CELG","2018"
"CERN","2017"
"CERN","2018"
"CERN","2019"
"CERN","2021"
"CERN","2020"
"CERN","2015"
"CERN","2016"
"CF","2022"
"CF","2019"
"CF","2016"
"CF","2020"
"CF","2017"
"CF","2021"
"CF","2015"
"CF","2018"
"CHD","2019"
"CHD","2018"
"CHD","2022"
"CHD","2020"
"CHD","2017"
"CHD","2015"
"CHD","2016"
"CHD","2021"
"CHK","2016"
"CHK","2015"
"CHK","2017"
"CHRW","2017"
"CHRW","2020"
"CHRW","2021"
"CHRW","2015"
"CHRW","2022"
"CHRW","2019"
"CHRW","2016"
"CHRW","2018"
"CHTR","2019"
"CHTR","2021"
"CHTR","2020"
"CHTR","2018"
"CHTR","2016"
"CHTR","2017"
"CHTR","2022"
"CL","2019"
"CL","2020"
"CL","2016"
"CL","2021"
"CL","2017"
"CL","2018"
"CL","2015"
"CL","2022"
"CLX","2021"
"CLX","2016"
"CLX","2020"
"CLX","2017"
"CLX","2015"
"CLX","2022"
"CLX","2018"
"CLX","2019"
"CMCSA","2015"
"CMCSA","2016"
"CMCSA","2018"
"CMCSA","2020"
"CMCSA","2019"
"CMCSA","2017"
"CMCSA","2022"
"CMCSA","2021"
"CMG","2015"
"CMG","2018"
"CMG","2021"
"CMG","2017"
"CMG","2022"
"CMG","2016"
"CMG","2020"
"CMG","2019"
"CMI","2021"
"CMI","2022"
"CMI","2019"
"CMI","2017"
"CMI","2020"
"CMI","2018"
"CMI","2015"
"CMI","2016"
"CMS","2020"
"CMS","2022"
"CMS","2018"
"CMS","2015"
"CMS","2019"
"CMS","2017"
"CMS","2016"
"CMS","2021"
"CNP","2016"
"CNP","2022"
"CNP","2018"
"CNP","2015"
"CNP","2021"
"CNP","2017"
"CNP","2020"
"CNP","2019"
"CNX","2015"
"COL","2016"
"COL","2017"
"COL","2015"
"COO","2020"
"COO","2016"
"COO","2018"
"COO","2022"
"COO","2021"
"COO","2019"
"COO","2017"
"COP","2022"
"COP","2021"
"COP","2018"
"COP","2015"
"COP","2017"
"COP","2019"
"COP","2020"
"COP","2016"
"COST","2021"
"COST","2018"
"COST","2016"
"COST","2020"
"COST","2022"
"COST","2019"
"COST","2015"
"COST","2017"
"COTY","2016"
"COTY","2019"
"COTY","2017"
"COTY","2018"
"CPB","2022"
"CPB","2021"
"CPB","2017"
"CPB","2019"
"CPB","2016"
"CPB","2018"
"CPB","2015"
"CPB","2020"
"CPGX","2015"
"CPRI","2017"
"CPRI","2016"
"CPRI","2018"
"CPRI","2019"
"CPRT","2019"
"CPRT","2021"
"CPRT","2022"
"CPRT","2018"
"CPRT","2020"
"CRL","2021"
"CRL","2022"
"CRM","2017"
"CRM","2022"
"CRM","2015"
"CRM","2020"
"CRM","2016"
"CRM","2019"
"CRM","2018"
"CRM","2021"
"CSCO","2015"
"CSCO","2018"
"CSCO","2021"
"CSCO","2016"
"CSCO","2019"
"CSCO","2020"
"CSCO","2017"
"CSCO","2022"
"CSGP","2022"
"CSRA","2016"
"CSRA","2017"
"CSRA","2015"
"CSX","2020"
"CSX","2015"
"CSX","2018"
"CSX","2016"
"CSX","2021"
"CSX","2019"
"CSX","2022"
"CSX","2017"
"CTAS","2017"
"CTAS","2021"
"CTAS","2020"
"CTAS","2016"
"CTAS","2018"
"CTAS","2019"
"CTAS","2022"
"CTAS","2015"
"CTLT","2021"
"CTLT","2022"
"CTLT","2020"
"CTRA","2022"
"CTRA","2021"
"CTSH","2021"
"CTSH","2019"
"CTSH","2015"
"CTSH","2018"
"CTSH","2017"
"CTSH","2020"
"CTSH","2022"
"CTSH","2016"
"CTVA","2022"
"CTVA","2020"
"CTVA","2019"
"CTVA","2021"
"CTXS","2017"
"CTXS","2020"
"CTXS","2021"
"CTXS","2018"
"CTXS","2015"
"CTXS","2016"
"CTXS","2019"
"CVC","2015"
"CVS","2016"
"CVS","2021"
"CVS","2022"
"CVS","2020"
"CVS","2019"
"CVS","2015"
"CVS","2017"
"CVS","2018"
"CVX","2016"
"CVX","2020"
"CVX","2022"
"CVX","2015"
"CVX","2017"
"CVX","2018"
"CVX","2019"
"CVX","2021"
"CXO","2020"
"CXO","2019"
"CXO","2018"
"CXO","2017"
"CXO","2016"
"CZR","2022"
"CZR","2021"
"D","2018"
"D","2019"
"D","2017"
"D","2016"
"D","2015"
"D","2022"
"D","2021"
"D","2020"
"DAL","2016"
"DAL","2021"
"DAL","2022"
"DAL","2018"
"DAL","2015"
"DAL","2017"
"DAL","2019"
"DAL","2020"
"DD","2015"
"DD","2021"
"DD","2016"
"DD","2022"
"DD","2019"
"DD","2020"
"DE","2022"
"DE","2017"
"DE","2019"
"DE","2015"
"DE","2016"
"DE","2020"
"DE","2021"
"DE","2018"
"DG","2015"
"DG","2017"
"DG","2019"
"DG","2021"
"DG","2018"
"DG","2022"
"DG","2020"
"DG","2016"
"DGX","2016"
"DGX","2020"
"DGX","2018"
"DGX","2021"
"DGX","2019"
"DGX","2015"
"DGX","2017"
"DGX","2022"
"DHI","2019"
"DHI","2018"
"DHI","2017"
"DHI","2016"
"DHI","2022"
"DHI","2020"
"DHI","2021"
"DHI","2015"
"DHR","2016"
"DHR","2019"
"DHR","2022"
"DHR","2017"
"DHR","2018"
"DHR","2021"
"DHR","2015"
"DHR","2020"
"DIS","2016"
"DIS","2020"
"DIS","2021"
"DIS","2015"
"DIS","2018"
"DIS","2017"
"DIS","2022"
"DIS","2019"
"DISCK","2017"
"DISCK","2019"
"DISCK","2018"
"DISCK","2015"
"DISCK","2021"
"DISCK","2016"
"DISCK","2020"
"DISH","2017"
"DISH","2020"
"DISH","2022"
"DISH","2019"
"DISH","2021"
"DISH","2018"
"DLTR","2018"
"DLTR","2017"
"DLTR","2019"
"DLTR","2021"
"DLTR","2015"
"DLTR","2016"
"DLTR","2020"
"DLTR","2022"
"DNB","2015"
"DNB","2016"
"DO","2015"
"DOV","2020"
"DOV","2022"
"DOV","2017"
"DOV","2021"
"DOV","2016"
"DOV","2019"
"DOV","2015"
"DOV","2018"
"DOW","2022"
"DOW","2016"
"DOW","2021"
"DOW","2020"
"DOW","2015"
"DOW","2019"
"DPZ","2020"
"DPZ","2022"
"DPZ","2021"
"DRI","2022"
"DRI","2018"
