"symbol","fy","FY_symbol","AccountsReceivableTurnover","CurrentRatio","DebtToEquity","ROA","ROE","DaysSalesinAccountingReceivable","DepreciationOverPlant","TimesInterestEarned","SalesToTotalAssets","NetIncomeLossToSales","SalestoCash","SalestoWorkingCapital","SalesToFixedAssets","WorkingCaitalToAssets","EBITDAMarginRatio","CashFlowOperationsToDebt","ChangeInDepreciation","ChangeInCurrentRatio","ChangeInDebtToEquity","ChangeInWorkingCapital","ChangeInDepreciationOverPlant","ChangeInEquityOverFixedAssets","ChangeInTimesInterestEarned","ChangeInSalesToTotalAssets","ChangeInPreTaxIncomeToSales","ChangeInNetIncomeLossToSales","ChangeInSalestoWorkingCapital","ChangeInWorkingCaitalToAssets","ChangeInEBITDAMarginRatio","ChangeInDebt","DiscretionaryAccrualsBinary"
"A",2018,"2018 A",-0.491540371274253,1.8572023357534,-0.737181432751024,-0.710921790677691,-0.701712921051374,0.300036904893212,0.321469466583767,0.810588764671087,-0.106483864554722,-0.732011688388001,-0.980546484935139,-0.195083025304234,1.57264041723657,1.89439414330829,0.424248510513879,0.979045500050689,-0.418755715319709,0.0411467927557382,0.328713696176925,-0.211971500106603,-1.30227809094805,-1.66612846076729,0.513214665028504,0.346684565482711,0.119625426131489,-1.69588206013286,0.00998266127171995,-0.581847801586066,0.00208276095919721,-0.107430052984315,"0"
"A",2019,"2019 A",-0.69750095833842,0.0617511420353588,-0.655841980450942,0.509309838142964,0.0721630518611604,0.636059071433349,0.505495158297573,0.797691635932358,-0.195082335869684,0.644396848774221,-0.833707328140839,0.136262553924395,1.57264041723657,0.241368328948757,0.306155446612945,0.40506681071153,0.104816505328558,-1.73932297301739,0.314985330015698,-1.47615830451561,1.1522766915087,-1.66612846076729,-0.142305990914694,-0.498740266866208,-0.567849521040958,1.66223988825619,0.594568171779894,-1.8639968477007,-0.426782531957999,0.126392329246539,"1"
"A",2020,"2020 A",-0.805133190632002,1.27190061646151,-0.666064073766816,0.025523987281648,-0.233085666143675,0.852249776438291,1.13951266717547,0.956244325028079,-0.169660008805096,0.0891753383287344,-0.83662938023826,-0.0887290637817436,1.57264041723657,0.958028265977222,0.463361824879805,0.168094318608384,0.837817614236133,1.78841469799896,-0.028450984461607,0.796356735224851,1.63990474152423,-1.66612846076729,0.22760046583092,-0.069091858364839,0.174860215083252,-0.89115787086252,-0.50240438396773,1.92834207003888,0.586171489146897,-0.326596901286169,"1"
"A",2021,"2021 A",-0.739696003214097,1.11407981871049,-0.658728554347281,1.05377217058147,0.406150680222356,0.716912408057006,0.953318827589032,0.284085786151835,-0.0610036280870446,1.05965727646644,-0.78420433510627,-0.0556828173727178,1.57264041723657,0.898867556215747,-0.224765868469693,1.03816676734384,-0.156969604995575,-0.264284700945506,0.0374055033063084,0.139243952649297,-1.31408071075341,-1.66612846076729,-1.56467584451558,0.244547224974032,-1.68052792994552,1.44524364560094,0.00638858698161293,-0.0524295207565625,-1.65387070865733,0.0144773428796346,"0"
"A",2022,"2022 A",-0.876223030237386,0.818439359256526,-0.659509044795709,0.780249819493297,0.236502440857829,1.0148922435889,0.566886846036514,0.53347086003496,0.121386601365898,0.592560115432808,-0.571361016508046,0.00897270310668144,1.57264041723657,0.786648965696252,-0.107868870018885,0.750144212089363,-0.453660530029594,-0.575408476201537,0.00696332915378724,-0.160044484242156,-1.7023038393578,-1.66612846076729,0.423573176906683,0.522388033070921,0.548528912297366,-0.756207750775682,0.0687150076368371,-0.18879158033141,0.437854630778447,-0.41919322929212,"0"
"AAL",2021,"2021 AAL",1.62805592724228,-0.883945016151628,-1.98660807288351,-1.70791602012139,0.418914938224643,-1.32701965201832,-1.01118457856717,-1.3625676126383,-0.489277016150772,-1.92511018933893,1.47306440731959,-1.65871583935336,-0.762876587414473,-0.959458000969242,-1.42358541752227,-1.70381737096744,-1.7600654181246,0.925637504733228,-0.054875826917055,1.72451733532927,0.0341051995515226,-0.158348995561815,1.65725333776212,1.74050010324097,1.62847193137662,1.66223988825619,-1.60782099114681,1.46780301773519,1.66150779513702,1.54245804911366,"1"
"AAL",2022,"2022 AAL",1.62805592724228,-1.19126092478798,-1.98660807288351,-1.17460691421834,-1.1040452752075,-1.42847339323304,-1.02401165808583,-1.13298312487945,0.445531889912271,-1.22680511846937,1.47306440731959,-1.33484740872709,-0.399765728677394,-1.55875595031286,-0.901766338934144,-1.4875766850452,-0.383850900609825,-0.601765454462474,-1.66705611501102,-1.69892910333152,-0.15913248179949,0.291586823505962,0.38085301104573,1.74050010324097,1.62847193137662,1.0284428275769,1.55679876905988,-1.44061588233415,1.66150779513702,-1.84863145770882,"0"
"AAPL",2018,"2018 AAPL",0.859573824511137,-0.561561577722936,0.303797732589932,1.50991351701044,1.59486924647547,-0.76828215506327,0.385212132940121,1.6248025690032,0.352726098000059,1.0059945050375,-0.216233273299906,1.65200696780227,1.57264041723657,-0.414079119669964,0.609097425728215,1.24259606237533,1.55078829504103,-0.431279384262059,1.5619512955847,-1.69892910333152,0.988240226137966,-1.66612846076729,-1.73081971194654,1.15915328263065,-0.488238233919778,0.163080329909756,1.55679876905988,-0.649525859211165,-0.284538148117401,1.54245804911366,"0"
"AAPL",2019,"2019 AAPL",0.831470784036395,0.0723382055663162,0.524860418033372,1.51750551210989,1.59486924647547,-0.755882772674523,0.923276614234965,1.25784549626238,0.481648405821391,0.887464667624686,-0.682908701159613,0.124610680955911,1.57264041723657,0.674229931560167,0.580106602628436,1.04249061468557,1.55078829504103,1.52300089442966,0.839070325684959,1.72451733532927,1.63990474152423,-1.66612846076729,-0.919481707845954,0.320912444745123,-0.364666698667689,-0.222425629319803,-1.60782099114681,1.92834207003888,-0.0989341629301561,-1.84863145770882,"0"
"AAPL",2020,"2020 AAPL",1.62805592724228,-0.196461507160189,1.34517638490468,1.75164136170303,1.59486924647547,-1.20059380928321,0.660910783397012,1.45604913669207,0.722067541959183,0.854762774299305,-0.503323329075998,0.430960536261529,1.57264041723657,0.249679200966892,0.23173993795682,1.37029180276458,-1.7600654181246,-0.514816291099986,1.61867162473862,-1.69892910333152,-1.7023038393578,-1.66612846076729,0.313148196938487,0.741050134709843,-1.04562173041603,-0.0909921329171808,0.545282193230086,-0.991504641678896,-1.27406565036256,1.54245804911366,"0"
